PMC_ID,English,Vietnamese
PMC7386785,"Key symptoms that have been associated with mild to moderate COVID‐19 disease include: troublesome dry cough (for example, coughing more than usual over a one‐hour period, or three or more coughing episodes in 24 hours), fever greater than 37.8 °C, diarrhoea, headache, breathlessness on light exertion, muscle pain, fatigue, and loss of sense of smell and taste.","Các triệu chứng chính có liên quan đến bệnh COVID-19 từ nhẹ đến trung bình bao gồm: ho khan khó chịu (ví dụ: ho nhiều hơn bình thường trong khoảng thời gian một giờ hoặc ba đợt ho trở lên trong 24 giờ), sốt trên 37,8 °C, tiêu chảy, nhức đầu, khó thở khi gắng sức nhẹ, đau cơ, mệt mỏi và mất khứu giác và vị giác."
PMC7386785,"Red flags indicating possible pneumonia include breathlessness at rest, loss of appetite, confusion, pain or pressure in the chest, and temperature above 38 °C.","Dấu hiệu cảnh báo có thể bị viêm phổi bao gồm khó thở khi nghỉ ngơi, chán ăn, lú lẫn, đau hoặc tức ngực và nhiệt độ trên 38°C."
PMC7386785,Important in the context of COVID‐19 is that the pathway is multifaceted because it is designed to care for the diseased individual and to protect the community from further spread.,Điều quan trọng trong bối cảnh của COVID-19 là con đường này có nhiều mặt vì nó được thiết kế để chăm sóc người bệnh và bảo vệ cộng đồng khỏi sự lây lan thêm.
PMC7386785,"Decisions about patient and isolation pathways for COVID‐19 vary according to health services and settings, available resources, and stages of the epidemic.","Các quyết định về bệnh nhân và lộ trình cách ly đối với COVID-19 khác nhau tùy theo các dịch vụ và cơ sở y tế, nguồn lực sẵn có và các giai đoạn của dịch."
PMC7386785,"They will change over time, if and when effective treatments and vaccines are identified.",Chúng sẽ thay đổi theo thời gian nếu và khi các phương pháp điều trị và vắc xin hiệu quả được xác định.
PMC7386785,"The decision points between these pathways vary, but all include points at which knowledge of the accuracy of diagnostic information is needed to be able to inform rational decision making.","Các điểm quyết định giữa các con đường này khác nhau, nhưng tất cả đều bao gồm các điểm mà tại đó cần có kiến ​​thức về tính chính xác của thông tin chẩn đoán để có thể đưa ra quyết định hợp lý."
PMC7386785,"In this review on signs and symptoms, no prior tests are required because signs and symptoms are used in the initial diagnosis of suspected COVID‐19 disease.","Trong đánh giá về các dấu hiệu và triệu chứng này, không cần xét nghiệm trước vì các dấu hiệu và triệu chứng được sử dụng trong chẩn đoán ban đầu khi nghi ngờ mắc bệnh COVID-19."
PMC7386785,"Patients can, however, self‐assess before presenting to healthcare services based on their symptoms.","Tuy nhiên, bệnh nhân có thể tự đánh giá trước khi đến các dịch vụ chăm sóc sức khỏe dựa trên các triệu chứng của họ."
PMC7386785,"This is in contrast to contact tracing, in which patients or participants are tested based on a documented contact with a SARS‐CoV‐2‐positive person and may themselves be asymptomatic.","Điều này trái ngược với việc truy dấu tiếp xúc, trong đó bệnh nhân hoặc người tham gia được xét nghiệm dựa trên hồ sơ tiếp xúc với người dương tính với SARS-CoV-2 và bản thân họ có thể không có triệu chứng."
PMC7386785,"Signs and symptoms are used as triage tests, that is, to rule out COVID‐19 disease, but also to identify patients with possible COVID‐19 who may require further testing, care escalation or isolation.","Các dấu hiệu và triệu chứng được sử dụng làm xét nghiệm phân loại, nghĩa là để loại trừ bệnh COVID-19, nhưng cũng để xác định những bệnh nhân có khả năng mắc COVID-19, những người có thể cần xét nghiệm thêm, tăng cường chăm sóc hoặc cách ly."
PMC7386785,"Chest X‐ray, ultrasound, and computed tomography (CT) are widely used diagnostic imaging tests to diagnose COVID‐19 pneumonia.","Chụp X-quang ngực, siêu âm và chụp cắt lớp vi tính (CT) là các xét nghiệm chẩn đoán hình ảnh được sử dụng rộng rãi để chẩn đoán viêm phổi do COVID-19."
PMC7386785,Availability and usage varies between settings.,Tính sẵn có và cách sử dụng khác nhau giữa các cài đặt.
PMC7386785,We address these radiological tests in a separate review.,Chúng tôi giải quyết các xét nghiệm X quang này trong một bài đánh giá riêng.
PMC7386785,It is essential to understand the accuracy of diagnostic tests including signs and symptoms to identify the best way they can be used in different settings to develop effective diagnostic and management pathways.,Điều cần thiết là phải hiểu tính chính xác của các xét nghiệm chẩn đoán bao gồm các dấu hiệu và triệu chứng để xác định cách tốt nhất chúng có thể được sử dụng trong các bối cảnh khác nhau nhằm phát triển các lộ trình chẩn đoán và quản lý hiệu quả.
PMC7386785,"We are producing a suite of Cochrane 'living systematic reviews', which will summarise evidence on the clinical accuracy of different tests and diagnostic features, grouped according to present research questions and settings, in the diagnosis of SARS‐CoV‐2 infection and COVID‐19 disease.","Chúng tôi đang sản xuất một bộ 'đánh giá hệ thống sống' của Cochrane, trong đó sẽ tóm tắt bằng chứng về độ chính xác lâm sàng của các xét nghiệm và đặc điểm chẩn đoán khác nhau, được nhóm lại theo các câu hỏi và bối cảnh nghiên cứu hiện tại, trong chẩn đoán nhiễm SARS-CoV-2 và bệnh COVID-19."
PMC7386785,"Summary estimates of accuracy from these reviews will help inform diagnostic, screening, isolation, and patient management decisions.","Ước tính tóm tắt về độ chính xác từ những đánh giá này sẽ giúp đưa ra các quyết định chẩn đoán, sàng lọc, cách ly và quản lý bệnh nhân."
PMC7386785,New tests are being developed and evidence is emerging at an unprecedented rate during the COVID‐19 pandemic.,Các xét nghiệm mới đang được phát triển và bằng chứng đang xuất hiện với tốc độ chưa từng có trong đại dịch COVID-19.
PMC7386785,We will aim to update these reviews as often as is feasible to ensure that they provide the most up‐to‐date evidence about test accuracy.,Chúng tôi sẽ cố gắng cập nhật những đánh giá này thường xuyên nhất có thể để đảm bảo rằng chúng cung cấp bằng chứng cập nhật nhất về độ chính xác của xét nghiệm.
PMC7386785,"These reviews are being produced rapidly to assist in providing a central resource of evidence to assist in the COVID‐19 pandemic, summarising available evidence on the accuracy of the tests and presenting characteristics.","Những đánh giá này đang được thực hiện nhanh chóng nhằm hỗ trợ cung cấp nguồn bằng chứng trung tâm nhằm hỗ trợ trong đại dịch COVID-19, tóm tắt bằng chứng sẵn có về tính chính xác của các xét nghiệm và trình bày các đặc điểm."
PMC7386785,"To assess the diagnostic accuracy of signs and symptoms to determine if a person presenting in primary care or to hospital outpatient settings, such as the emergency department or dedicated COVID‐19 clinics, has COVID‐19 disease or COVID‐19 pneumonia.","Để đánh giá độ chính xác trong chẩn đoán của các dấu hiệu và triệu chứng nhằm xác định xem một người đến cơ sở chăm sóc ban đầu hoặc cơ sở ngoại trú tại bệnh viện, chẳng hạn như khoa cấp cứu hoặc phòng khám chuyên dụng về COVID-19, có mắc bệnh COVID-19 hoặc viêm phổi do COVID-19 hay không."
PMC7386785,"Where data are available, we will investigate diagnostic accuracy (either by stratified analysis or meta‐regression) according to: days since symptom onset, population (children; older adults), reference standard, study design, setting, severity of COVID‐19 pneumonia (severe COVID‐19 pneumonia/ARDS requiring intensive care support).","Khi có sẵn dữ liệu, chúng tôi sẽ điều tra độ chính xác của chẩn đoán (bằng phân tích phân tầng hoặc hồi quy tổng hợp) theo: số ngày kể từ khi khởi phát triệu chứng, dân số (trẻ em; người lớn tuổi), tiêu chuẩn tham khảo, thiết kế nghiên cứu, bối cảnh, mức độ nghiêm trọng của bệnh viêm phổi do COVID-19 (viêm phổi nặng do COVID-19/ARDS cần hỗ trợ chăm sóc đặc biệt)."
PMC7386785,"days since symptom onset, population (children; older adults), reference standard, study design, setting, severity of COVID‐19 pneumonia (severe COVID‐19 pneumonia/ARDS requiring intensive care support).","ngày kể từ khi khởi phát triệu chứng, dân số (trẻ em; người lớn tuổi), tiêu chuẩn tham khảo, thiết kế nghiên cứu, bối cảnh, mức độ nghiêm trọng của bệnh viêm phổi do COVID-19 (viêm phổi do COVID-19 nặng/ARDS cần được hỗ trợ chăm sóc đặc biệt)."
PMC7386785,"We kept the eligibility criteria purposely broad to include all patient groups and all variations of a test at this initial stage of reviewing the evidence (that is, if the patient population was unclear, we included the study).","Chúng tôi cố tình mở rộng các tiêu chí đủ điều kiện để bao gồm tất cả các nhóm bệnh nhân và tất cả các biến thể của xét nghiệm ở giai đoạn xem xét bằng chứng ban đầu này (nghĩa là, nếu nhóm bệnh nhân không rõ ràng, chúng tôi sẽ đưa vào nghiên cứu)."
PMC7386785,We included studies of all designs that produce estimates of test accuracy or provide data from which estimates can be computed.,Chúng tôi bao gồm các nghiên cứu về tất cả các thiết kế tạo ra ước tính về độ chính xác của thử nghiệm hoặc cung cấp dữ liệu từ đó có thể tính toán được ước tính.
PMC7386785,We included both single‐gate (studies that recruit from a patient pathway before disease status has been ascertained) and multi‐gate (where people with and without the target condition are recruited separately) designs.,Chúng tôi bao gồm cả thiết kế một cổng (nghiên cứu tuyển dụng từ một lộ trình bệnh nhân trước khi tình trạng bệnh được xác định chắc chắn) và nhiều cổng (trong đó những người có và không có tình trạng mục tiêu được tuyển dụng riêng biệt).
PMC7386785,This means that we included studies that were cross‐sectional or diagnostic case‐control type studies.,Điều này có nghĩa là chúng tôi đã đưa vào các nghiên cứu thuộc loại nghiên cứu bệnh chứng cắt ngang hoặc chẩn đoán.
PMC7386785,"When interpreting the results, we made sure that the limitations of different study designs were carefully considered, using quality assessment and analysis.","Khi giải thích kết quả, chúng tôi đảm bảo rằng những hạn chế của các thiết kế nghiên cứu khác nhau đã được xem xét cẩn thận bằng cách sử dụng đánh giá và phân tích chất lượng."
PMC7386785,Studies recruiting people presenting to primary care or outpatient hospital settings with suspicion of COVID‐19 disease were eligible.,Các nghiên cứu tuyển dụng những người đến cơ sở chăm sóc ban đầu hoặc bệnh viện ngoại trú vì nghi ngờ mắc bệnh COVID-19 đều đủ điều kiện.
PMC7386785,"For the initial version of this review, we included studies that recruited symptomatic people either known to have SARS‐CoV‐2 infection or known not to have SARS‐CoV‐2 infection.","Đối với phiên bản đầu tiên của đánh giá này, chúng tôi đã đưa vào các nghiên cứu tuyển chọn những người có triệu chứng được biết là nhiễm SARS-CoV-2 hoặc được biết là không nhiễm SARS-CoV-2."
PMC7386785,Studies had to have a sample size of a minimum of 10 participants.,Các nghiên cứu phải có cỡ mẫu tối thiểu là 10 người tham gia.
PMC7386785,"All signs and symptoms, including: signs such as oxygen saturation, measured by oximetry or blood pressure; classic symptoms, such as fever or cough.","Tất cả các dấu hiệu và triệu chứng, bao gồm: các dấu hiệu như độ bão hòa oxy, được đo bằng máy đo độ bão hòa oxy hoặc huyết áp; các triệu chứng kinh điển, chẳng hạn như sốt hoặc ho."
PMC7386785,"We included combinations of signs and symptoms, but not when they were combined with laboratory, imaging, or other types of index tests as these will be covered in the other reviews.","Chúng tôi bao gồm sự kết hợp của các dấu hiệu và triệu chứng, nhưng không bao gồm khi chúng được kết hợp với xét nghiệm, chẩn đoán hình ảnh hoặc các loại xét nghiệm chỉ số khác vì chúng sẽ được đề cập trong các đánh giá khác."
PMC7386785,"All signs and symptoms, including: signs such as oxygen saturation, measured by oximetry or blood pressure; classic symptoms, such as fever or cough.","Tất cả các dấu hiệu và triệu chứng, bao gồm: các dấu hiệu như độ bão hòa oxy, được đo bằng máy đo độ bão hòa oxy hoặc huyết áp; các triệu chứng kinh điển, chẳng hạn như sốt hoặc ho."
PMC7386785,"We included combinations of signs and symptoms, but not when they were combined with laboratory, imaging, or other types of index tests as these will be covered in the other reviews.","Chúng tôi bao gồm sự kết hợp của các dấu hiệu và triệu chứng, nhưng không bao gồm khi chúng được kết hợp với xét nghiệm, chẩn đoán hình ảnh hoặc các loại xét nghiệm chỉ số khác vì chúng sẽ được đề cập trong các đánh giá khác."
PMC7386785,To be eligible studies had to identify at least one of: mild or moderate COVID‐19 disease; COVID‐19 pneumonia.,"Để đủ điều kiện, các nghiên cứu phải xác định được ít nhất một trong số: bệnh COVID-19 nhẹ hoặc trung bình; Viêm phổi do Covid-19."
PMC7386785,mild or moderate COVID‐19 disease; COVID‐19 pneumonia.,bệnh COVID-19 nhẹ hoặc trung bình; Viêm phổi do Covid-19.
PMC7386785,"Asymptomatic infection with SARS‐CoV‐2 infection is out of scope for this review, considering it is by definition not possible to detect this based on signs and symptoms.","Nhiễm trùng không có triệu chứng với nhiễm SARS-CoV-2 nằm ngoài phạm vi của đánh giá này, vì theo định nghĩa, không thể phát hiện điều này dựa trên các dấu hiệu và triệu chứng."
PMC7386785,We anticipated that studies would use a range of reference standards.,Chúng tôi dự đoán rằng các nghiên cứu sẽ sử dụng nhiều tiêu chuẩn tham khảo.
PMC7386785,"Although RT‐PCR is considered the best available test, due to rapidly evolving knowledge about the target conditions, multiple reference standards on their own as well as in combination have emerged.","Mặc dù RT-PCR được coi là xét nghiệm tốt nhất hiện có, do kiến ​​thức ngày càng phát triển nhanh chóng về các điều kiện mục tiêu, nhiều tiêu chuẩn tham chiếu riêng lẻ cũng như kết hợp đã xuất hiện."
PMC7386785,"We expected to encounter cases defined by: RT‐PCR alone; RT‐PCR, clinical expertise, and imaging (for example, CT thorax); repeated RT‐PCR several days apart or from different samples; plaque reduction neutralisation test (PRNT) or enzyme‐linked immunosorbent assay ( ELISA) tests; information available at a subsequent time point; World Health Organization (WHO) and other case definitions (see Appendix 1 ).","Chúng tôi dự kiến ​​sẽ gặp những trường hợp được xác định chỉ bằng: RT-PCR; RT-PCR, chuyên môn lâm sàng và hình ảnh (ví dụ: CT ngực); lặp lại RT-PCR cách nhau vài ngày hoặc từ các mẫu khác nhau; xét nghiệm trung hòa giảm mảng bám (PRNT) hoặc xét nghiệm miễn dịch hấp thụ liên kết với enzyme (ELISA); thông tin có sẵn tại thời điểm tiếp theo; Tổ chức Y tế Thế giới (WHO) và các định nghĩa ca bệnh khác (xem Phụ lục 1)."
PMC7386785,"RT‐PCR alone; RT‐PCR, clinical expertise, and imaging (for example, CT thorax); repeated RT‐PCR several days apart or from different samples; plaque reduction neutralisation test (PRNT) or enzyme‐linked immunosorbent assay ( ELISA) tests; information available at a subsequent time point; World Health Organization (WHO) and other case definitions (see Appendix 1 ).","RT-PCR đơn thuần; RT-PCR, chuyên môn lâm sàng và hình ảnh (ví dụ: CT ngực); lặp lại RT-PCR cách nhau vài ngày hoặc từ các mẫu khác nhau; xét nghiệm trung hòa giảm mảng bám (PRNT) hoặc xét nghiệm miễn dịch hấp thụ liên kết với enzyme (ELISA); thông tin có sẵn tại thời điểm tiếp theo; Tổ chức Y tế Thế giới (WHO) và các định nghĩa ca bệnh khác (xem Phụ lục 1)."
PMC7386785,"This list is not exhaustive, and we recorded all reference standards encountered.",Danh sách này không đầy đủ và chúng tôi đã ghi lại tất cả các tiêu chuẩn tham khảo gặp phải.
PMC7386785,"With a group of methodological and clinical experts, we are producing a ranking of reference standards according to their ability to correctly classify participants using a consensus process.","Với một nhóm các chuyên gia về phương pháp và lâm sàng, chúng tôi đang tạo ra một bảng xếp hạng các tiêu chuẩn tham chiếu theo khả năng phân loại chính xác người tham gia bằng quy trình đồng thuận."
PMC7386785,We will use the ranking for informing the assessment of methodological quality in the next update of this review.,Chúng tôi sẽ sử dụng bảng xếp hạng để thông báo đánh giá chất lượng phương pháp luận trong bản cập nhật tiếp theo của đánh giá này.
PMC7386785,The final search date for this version of the review is 27 April 2020.,Ngày tìm kiếm cuối cùng cho phiên bản đánh giá này là ngày 27 tháng 4 năm 2020.
PMC7386785,We conducted a single literature search to cover our suite of Cochrane COVID‐19 diagnostic test accuracy (DTA) reviews ( Deeks 2020 ; McInnes 2020 ).,Chúng tôi đã tiến hành một tìm kiếm tài liệu duy nhất để bao gồm bộ đánh giá về độ chính xác của xét nghiệm chẩn đoán (DTA) Cochrane COVID-19 ( Deeks 2020 ; McInnes 2020 ).
PMC7386785,We conducted electronic searches using two primary sources.,Chúng tôi đã tiến hành tìm kiếm điện tử bằng hai nguồn chính.
PMC7386785,"Both of these searches aimed to identify all published articles and preprints related to COVID‐19, and were not restricted to those evaluating biomarkers or tests.",Cả hai tìm kiếm này đều nhằm mục đích xác định tất cả các bài báo và bản in trước đã xuất bản liên quan đến COVID-19 và không bị giới hạn ở những người đánh giá dấu ấn sinh học hoặc xét nghiệm.
PMC7386785,"Thus, there are no test terms, diagnosis terms, or methodological terms in the searches.","Do đó, không có thuật ngữ kiểm tra, thuật ngữ chẩn đoán hoặc thuật ngữ phương pháp luận nào trong các tìm kiếm."
PMC7386785,"Searches were limited to 2019 and 2020, and for this version of the review have been conducted to 27 April 2020.",Các tìm kiếm được giới hạn trong năm 2019 và 2020 và đối với phiên bản đánh giá này đã được thực hiện đến ngày 27 tháng 4 năm 2020.
PMC7386785,"We used the Cochrane COVID‐19 Study Register ( covid-19.cochrane.org/ ), for searches conducted to 28 March 2020.",Chúng tôi đã sử dụng Sổ đăng ký nghiên cứu Cochrane COVID‐19 (cochrane Covid-19.cochrane.org/) để tìm kiếm được thực hiện đến ngày 28 tháng 3 năm 2020.
PMC7386785,"At that time, the register was populated by searches of PubMed, as well as trials registers at ClinicalTrials.gov and the WHO International Clinical Trials Registry Platform (ICTRP).","Vào thời điểm đó, sổ đăng ký được điền bằng các tìm kiếm trên PubMed, cũng như sổ đăng ký thử nghiệm tại ClinicTrials.gov và Nền tảng đăng ký thử nghiệm lâm sàng quốc tế của WHO (ICTRP)."
PMC7386785,"Search strategies were designed for maximum sensitivity, to retrieve all human studies on COVID‐19 and with no language limits.","Các chiến lược tìm kiếm được thiết kế để có độ nhạy tối đa, nhằm truy xuất tất cả các nghiên cứu trên người về COVID-19 và không có giới hạn ngôn ngữ."
PMC7386785,See Appendix 2 .,Xem Phụ lục 2.
PMC7386785,"From 28 March 2020, we used the COVID‐19 Living Evidence database from the Institute of Social and Preventive Medicine (ISPM) at the University of Bern ( www.ispm.unibe.ch ), as the primary source of records for the Cochrane COVID‐19 DTA reviews.","Từ ngày 28 tháng 3 năm 2020, chúng tôi đã sử dụng cơ sở dữ liệu Bằng chứng sống về COVID-19 từ Viện Y tế Dự phòng và Xã hội (ISPM) tại Đại học Bern ( www.ispm.unibe.ch ), làm nguồn hồ sơ chính cho các đánh giá của Cochrane COVID-19 DTA."
PMC7386785,"This search includes PubMed, Embase, and preprints indexed in bioRxiv and medRxiv databases.","Tìm kiếm này bao gồm PubMed, Embase và các bản in trước được lập chỉ mục trong cơ sở dữ liệu bioRxiv và medRxiv."
PMC7386785,The strategies as described on the ISPM website are described here ( ispmbern.github.io/covid-19/ ).,Các chiến lược được mô tả trên trang web ISPM được mô tả ở đây ( ispmbern.github.io/covid-19/ ).
PMC7386785,See Appendix 3 .,Xem Phụ lục 3.
PMC7386785,The decision to focus primarily on the 'Bern' feed was due to the exceptionally large numbers of COVID‐19 studies available only as preprints.,Quyết định tập trung chủ yếu vào nguồn cấp dữ liệu 'Bern' là do số lượng lớn các nghiên cứu về COVID-19 chỉ có sẵn dưới dạng bản in trước.
PMC7386785,The Cochrane COVID‐19 Study Register has undergone a number of iterations since the end of March 2020 and we anticipate moving back to the Cochrane COVID‐19 Study Register as the primary source of records for subsequent review updates.,Sổ đăng ký nghiên cứu Cochrane COVID-19 đã trải qua nhiều lần sửa đổi kể từ cuối tháng 3 năm 2020 và chúng tôi dự kiến ​​sẽ chuyển trở lại Sổ đăng ký nghiên cứu Cochrane COVID-19 làm nguồn hồ sơ chính cho các cập nhật đánh giá tiếp theo.
PMC7386785,"We obtained Embase records through Martha Knuth for the Centers for Disease Control and Prevention (CDC), Stephen B Thacker CDC Library, COVID‐19 Research Articles Downloadable Database and de‐duplicated them against the Cochrane COVID‐19 Study Register up to 1 April 2020.","Chúng tôi đã thu thập các hồ sơ Embase thông qua Martha Knuth của Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh (CDC), Thư viện CDC của Stephen B Thacker, Cơ sở dữ liệu có thể tải xuống các bài báo nghiên cứu về COVID-19 và loại bỏ trùng lặp chúng với Đăng ký nghiên cứu Cochrane COVID-19 cho đến ngày 1 tháng 4 năm 2020."
PMC7386785,See Appendix 4 .,Xem Phụ lục 4.
PMC7386785,"We also checked our search results against two additional repositories of COVID‐19 publications including: the Evidence for Policy and Practice Information and Co‐ordinating Centre (EPPI‐Centre) 'COVID‐19: Living map of the evidence' ( eppi.ioe.ac.uk/COVID19_MAP/covid_map_v4.html ); the Norwegian Institute of Public Health 'NIPH systematic and living map on COVID‐19 evidence' ( www.nornesk.no/forskningskart/NIPH_diagnosisMap.html ) the Evidence for Policy and Practice Information and Co‐ordinating Centre (EPPI‐Centre) 'COVID‐19: Living map of the evidence' ( eppi.ioe.ac.uk/COVID19_MAP/covid_map_v4.html ); the Norwegian Institute of Public Health 'NIPH systematic and living map on COVID‐19 evidence' ( www.nornesk.no/forskningskart/NIPH_diagnosisMap.html ) Both of these repositories allow their contents to be filtered according to studies potentially relating to diagnosis, and both have agreed to provide us with updates of new diagnosis studies added.","Chúng tôi cũng đã kiểm tra kết quả tìm kiếm của mình dựa trên hai kho lưu trữ bổ sung các ấn phẩm về COVID-19, bao gồm: Bằng chứng cho Trung tâm Điều phối và Thông tin Thực hành và Chính sách (EPPI-Centre) 'Covid-19: Bản đồ sống về bằng chứng' ( eppi.ioe.ac.uk/Covid19_MAP/covid_map_v4.html ); Viện Y tế Công cộng Na Uy 'Bản đồ sống động và hệ thống NIPH về bằng chứng COVID‐19' ( www.nornesk.no/forskningskart/NIPH_diagnosisMap.html ) Bằng chứng về Trung tâm Điều phối và Thông tin Thực hành và Chính sách (EPPI‐Centre) 'Covid-19: Bản đồ sống về bằng chứng' ( eppi.ioe.ac.uk/Covid19_MAP/covid_map_v4.html ); Viện Y tế Công cộng Na Uy 'Bản đồ sống và hệ thống NIPH về bằng chứng COVID‐19' ( www.nornesk.no/forskningskart/NIPH_diagnosisMap.html ) Cả hai kho lưu trữ này đều cho phép lọc nội dung của chúng theo các nghiên cứu có khả năng liên quan đến chẩn đoán và cả hai đều đồng ý cung cấp cho chúng tôi thông tin cập nhật về các nghiên cứu chẩn đoán mới được bổ sung."
